Segment,Segment_Order,customers,total_revenue,avg_recency,avg_frequency,avg_monetary,avg_r_score,avg_f_score,avg_m_score,avg_rfm_total_score,customer_percentage,revenue_percentage
Champions,1,114,56177.11,91.70175438596492,3.56140350877193,492.7816666666667,4.464912280701754,3.412280701754386,4.833333333333333,12.710526315789474,0.001221105850596628,0.004248921682899972
Loyal Customers,2,43,16583.75,189.37209302325581,3.395348837209302,385.6686046511628,3.302325581395349,3.2325581395348837,4.4186046511627906,10.953488372093023,0.0004605925576811843,0.0012543018848565261
Potential Loyalists,3,1062,269086.09,87.70715630885122,2.0009416195856873,253.3767325800377,4.520715630885123,2.0009416195856873,4.200564971751413,10.722222222222221,0.011375565029242272,0.020352163405482647
New Customers,4,18106,2507752.75,44.51927537832763,1.0,138.5039627747708,5.0,1.0,2.944990610847233,8.944990610847233,0.19394160114826794,0.18967236005602695
Promising,5,10686,2273781.31,134.31779898933183,1.0,212.7813316488864,4.0,1.0,4.011136065880591,9.011136065880592,0.11446260631118918,0.17197607193092884
Big Spenders,6,3559,1323728.33,219.45967968530485,1.0806406293902782,371.93827760606916,3.0,1.0806406293902782,5.0,9.080640629390277,0.038122067739240345,0.10011939032830221
Need Attention,7,11149,1066058.25,219.79756031931115,1.0244865010314828,95.61918109247466,3.0,1.0244865010314828,2.9982061171405507,7.022692618172034,0.11942200989738426,0.0806306699233798
At Risk,8,57,21241.44,373.6666666666667,3.0,372.65684210526314,1.6491228070175439,3.0,4.5964912280701755,9.24561403508772,0.000610552925298314,0.0016065834463897977
Cannot Lose Them,9,5,2708.98,362.8,4.0,541.796,1.8,4.0,5.0,10.8,5.355727414897491e-05,0.00020489206120682187
Hibernating,10,21303,4628498.91,392.51509177111205,1.0379758719429188,217.26981692719335,1.5063136647420552,1.0379758719429188,4.018870581608224,6.563160118293198,0.22818612223912252,0.35007371112500957
Lost Customers,11,15734,645610.0599999999,395.9764204906572,1.0,41.032799033939234,1.4893224863353247,1.0,1.5081352485064192,3.997457734841744,0.16853403029199426,0.04883032577917147
Others,12,11540,410271.13,166.42521663778163,1.01421143847487,35.55209098786828,3.6312824956672443,1.0141247833622185,1.3311958405545927,5.976603119584055,0.1236101887358341,0.03103060837634533
